Title,Section,Subsection,Content
Cricket_World_Cup,Introduction,,"The ICC Men's Cricket World Cup is a quadrennial world cup for cricket in One Day International (ODI) format, organised by the International Cricket Council (ICC). The tournament is one of the world's most viewed sporting events and considered the flagship event of the international cricket calendar by the ICC. 
The first Cricket World Cup was organised in England in June 1975, with the first ODI cricket match having been played only four years earlier. However, a separate Women's Cricket World Cup had been held two years before the first men's tournament, and a tournament involving multiple international teams had been held as early as 1912, when a triangular tournament of Test matches was played between Australia, England and South Africa. The first three World Cups were held in England. From the 1987 tournament onwards, hosting has been shared between countries under an unofficial rotation system, with 14 ICC members having hosted at least one match in the tournament.
The current format involves a qualification phase, which takes place over the preceding three years, to determine which teams qualify for the tournament phase. In the tournament phase, 10 teams, including the automatically qualifying host nation, compete for the title at venues within the host nation over about a month. In the 2027 World Cup, the format will be changed to accommodate an expanded 14-team final competition.
A total of twenty teams have competed in the 13 editions of the tournament, with ten teams competing in the recent 2023 tournament. Australia has won the tournament six times, India and West Indies twice each, while Pakistan, Sri Lanka and England have won it once each. The best performance by a non-full-member team came when Kenya made the semi-finals of the 2003 tournament.
Australia are the current champions after winning the 2023 World Cup in India. The subsequent 2027 World Cup will be held jointly in South Africa, Zimbabwe and Namibia."
Cricket_World_Cup,History,,"The first international cricket match was played between Canada and the United States, on 24 and 25 September 1844. However, the first credited Test match was played in 1877 between Australia and England, and the two teams competed regularly for The Ashes in subsequent years. South Africa was admitted to Test status in 1889. Representative cricket teams were selected to tour each other, resulting in bilateral competition. Cricket was also included as an Olympic sport at the 1900 Paris Games, where Great Britain defeated France to win the gold medal. This was the only appearance of cricket at the Summer Olympics.
The first multilateral competition at international level was the 1912 Triangular Tournament, a Test cricket tournament played in England between all three Test-playing nations at the time: England, Australia and South Africa. The event was not a success: the summer was exceptionally wet, making play difficult on damp uncovered pitches, and crowd attendances were poor, attributed to a ""surfeit of cricket"". Since then, international Test cricket has generally been organised as bilateral series: a multilateral Test tournament was not organised again until the triangular Asian Test Championship in 1999.
The number of nations playing Test cricket increased gradually over time, with the addition of West Indies in 1928, New Zealand in 1930, India in 1932, and Pakistan in 1952. However, international cricket continued to be played as bilateral Test matches over three, four or five days.
In the early 1960s, English county cricket teams began playing a shortened version of cricket which only lasted for one day. Starting in 1962 with a four-team knockout competition known as the Midlands Knock-Out Cup, and continuing with the inaugural Gillette Cup in 1963, one-day cricket grew in popularity in England. A national Sunday League was formed in 1969. The first One-Day International match was played on the fifth day of a rain-aborted Test match between England and Australia at Melbourne in 1971, to fill the time available and as compensation for the frustrated crowd. It was a forty over game with eight balls per over, and saw Australia win by 5 wickets. The success and popularity of the domestic one-day competitions in England and other parts of the world, as well as the early One-Day Internationals, prompted the ICC to consider organizing a Cricket World Cup."
Cricket_World_Cup,History,Prudential World Cups (1975–1983),"The inaugural Cricket World Cup was hosted in 1975 by England, the only nation able to put forward the resources to stage an event of such magnitude at the time. The first three tournaments were held in England and officially known as the Prudential Cup after the sponsors Prudential plc. The matches consisted of 60 six-ball overs per team, played during daytime in the traditional form, with the players wearing cricket whites and using red cricket balls.
Eight teams participated in the first tournament: Australia, England, India, New Zealand, Pakistan, and the West Indies (the six Test nations at the time), together with Sri Lanka and a composite team from East Africa. One notable omission was South Africa, who were banned from international cricket due to apartheid. The tournament was won by the West Indies, who defeated Australia by 17 runs in the final at Lord's. Roy Fredricks of West Indies was the first batsmen who got hit-wicket in ODI during the 1975 World Cup final.
The 1979 World Cup saw the introduction of the ICC Trophy competition to select non-Test playing teams for the World Cup, with Sri Lanka and Canada qualifying. The West Indies won a second consecutive World Cup tournament, defeating the hosts England by 92 runs in the final. At a meeting which followed the World Cup, the International Cricket Conference agreed to make the competition a quadrennial event.
The 1983 event was hosted by England for a third consecutive time. By this stage, Sri Lanka had become a Test-playing nation, and Zimbabwe qualified through the ICC Trophy. A fielding circle was introduced, 30 yards (27 m) away from the stumps. Four fieldsmen needed to be inside it at all times. The teams faced each other twice, before moving into the knock-outs. India  was crowned champions after upsetting the West Indies by 43 runs in the final."
Cricket_World_Cup,History,Various champions (1987–1996),"India and Pakistan jointly hosted the 1987 tournament, the first time that the competition was held outside England. The games were reduced from 60 to 50 overs per innings, the current standard, because of the shorter daylight hours in the Indian subcontinent compared with England's summer. Australia won the championship by defeating England by 7 runs in the final, the closest margin in the World Cup final until the 2019 edition between England and New Zealand.
The 1992 World Cup, held in Australia and New Zealand, introduced many changes to the game, such as coloured clothing, white balls, day/night matches, and a change to the fielding restriction rules. The South African cricket team participated in the event for the first time, following the fall of the apartheid regime and the end of the international sports boycott. Pakistan overcame a dismal start in the tournament to eventually defeat England by 22 runs in the final and emerge as winners.
The 1996 championship was held in the Indian subcontinent for a second time, with the inclusion of Sri Lanka as host for some of its group stage matches. In the semi-final, Sri Lanka, heading towards a crushing victory over India at Eden Gardens after the hosts lost eight wickets while scoring 120 runs in pursuit of 252, were awarded victory by default after crowd unrest broke out in protest against the Indian performance. Sri Lanka went on to win their maiden championship by defeating Australia by seven wickets in the final at Lahore."
Cricket_World_Cup,History,Australian treble (1999–2007),"In 1999, the event was hosted by England, with some matches also being held in Scotland, Ireland, Wales and the Netherlands. Twelve teams contested the World Cup. Australia qualified for the semi-finals after reaching their target in their Super 6 match against South Africa off the final over of the match. They then proceeded to the final with a tied match in the semi-final also against South Africa where a mix-up between South African batsmen Lance Klusener and Allan Donald saw Donald drop his bat and stranded mid-pitch to be run out. In the final, Australia dismissed Pakistan for 132 and then reached the target in less than 20 overs and with eight wickets in hand.
South Africa, Zimbabwe and Kenya hosted the 2003 World Cup. The number of teams participating in the event increased from twelve to fourteen. Kenya's victories over Sri Lanka and Zimbabwe, among others – and a forfeit by the New Zealand team, which refused to play in Kenya because of security concerns – enabled Kenya to reach the semi-finals, the best result by an associate. In the final, Australia made 359 runs for the loss of two wickets, the largest ever total in a final, defeating India by 125 runs.
In 2007, the tournament was hosted by the West Indies and expanded to sixteen teams. Following Pakistan's upset loss to World Cup debutants Ireland in the group stage, Pakistani coach Bob Woolmer was found dead in his hotel room. Jamaican police had initially launched a murder investigation into Woolmer's death but later confirmed that he died of heart failure. Australia defeated Sri Lanka in the final by 53 runs (D/L) in farcical light conditions, and extended their undefeated run in the World Cup to 29 matches and winning three straight championships."
Cricket_World_Cup,History,Hosts triumph (2011–2019),"India, Sri Lanka and Bangladesh together hosted the 2011 World Cup. Pakistan was stripped of its hosting rights following the terrorist attack on the Sri Lankan cricket team in 2009, with the games originally scheduled for Pakistan redistributed to the other host countries. The number of teams participating in the World Cup was reduced to fourteen. Australia lost their final group stage match against Pakistan on 19 March 2011, ending an unbeaten streak of 35 World Cup matches, which had begun on 23 May 1999. India won their second World Cup title by beating Sri Lanka by 6 wickets in the final at Wankhede Stadium in Mumbai, where the Indian captain M.S. Dhoni along with the spinning all-rounder Yuvraj Singh chased 275 with notable performances from Gautam Gambhir and Virat Kohli, making India the first country to win the World Cup at home. This was also the first time that two Asian countries faced each other in a World Cup Final.
Australia and New Zealand jointly hosted the 2015 World Cup. The number of participants remained at fourteen. Ireland was the most successful Associate nation with a total of three wins in the tournament. New Zealand beat South Africa in a thrilling first semi-final to qualify for their maiden World Cup final. Australia defeated New Zealand by seven wickets in the final at Melbourne to lift the World Cup for the fifth time.
The 2019 World Cup was hosted by England and Wales. The number of participants was reduced to 10. New Zealand defeated India in the first semi-final, which was pushed over to the reserve day due to rain. England defeated the defending champions, Australia, in the second semi-final. Neither finalist had previously won the World Cup. In the final, the scores were tied at 241 after 50 overs and the match went to a super over, after which the scores were again tied at 15. The World Cup was won by England, whose boundary count was greater than New Zealand's."
Cricket_World_Cup,History,Australian win (2023),"The 2023 Cricket World Cup was hosted by India.  The number of teams in the tournament remained at 10, including the Netherlands, which returned to the tournament after a 12-year absence and excluding the inaugural and two-time champions the West Indies; they failed to qualify for the World Cup for the first time in history. India were unbeaten in the group stage, as they won all of their matches and defeated New Zealand to advance to the final; Australia lost twice during the group stage before rebounding and going on an eight-game winning streak, including a defeat of South Africa in the semi-finals. Afghanistan had their most successful World Cup, with four wins during the group stage, including over defending champions England and former champions Pakistan; they also came close to defeating Australia before Glenn Maxwell's double century steered the Aussies to victory. In the final, Australia defeated the 10-match unbeaten India to clinch their record-extending 6th World Cup.
The 2027 World Cup is coming up. It will be hosted in South Africa, Zimbabwe, and Namibia. Namibia will still have to go through the qualification process."
Cricket_World_Cup,Format,Qualification,"From the first World Cup in 1975 up to the 2019 World Cup, the majority of teams taking part qualified automatically. Until the 2015 World Cup this was mostly through having Full Membership of the ICC, and for the 2019 World Cup this was mostly through ranking position in the ICC ODI Championship.
Since the second World Cup in 1979 up to the 2019 World Cup, the teams that qualified automatically were joined by a small number of others who qualified for the World Cup through the qualification process. The first qualifying tournament being the ICC Trophy; later the process expanding with pre-qualifying tournaments. For the 2011 World Cup, the ICC World Cricket League replaced the past pre-qualifying processes; and the name ""ICC Trophy"" was changed to ""ICC Men's Cricket World Cup Qualifier"". The World Cricket League was the qualification system provided to allow the Associate and Affiliate members of the ICC more opportunities to qualify. The number of teams qualifying varied throughout the years.
From the 2023 World Cup onwards, only the host nation(s) will qualify automatically. All countries will participate in a series of leagues to determine qualification, with automatic promotion and relegation between divisions from one World Cup cycle to the next."
Cricket_World_Cup,Format,Tournament,"The format of the Cricket World Cup has changed greatly over the course of its history. Each of the first four tournaments was played by eight teams, divided into two groups of four. The competition consisted of two stages, a group stage and a knock-out stage. The four teams in each group played each other in the round-robin group stage, with the top two teams in each group progressing to the semi-finals. The winners of the semi-finals played against each other in the final. With South Africa returning in the fifth tournament in 1992 as a result of the end of the apartheid boycott, nine teams played each other once in the group phase, and the top four teams progressed to the semi-finals. The tournament was further expanded in 1996, with two groups of six teams. The top four teams from each group progressed to quarter-finals and semi-finals.
A distinct format was used for the 1999 and 2003 World Cups. The teams were split into two pools, with the top three teams in each pool advancing to the Super 6. The Super 6 teams played the three other teams that advanced from the other group. As they advanced, the teams carried their points forward from previous matches against other teams advancing alongside them, giving them an incentive to perform well in the group stages. The top four teams from the Super 6 stage progressed to the semi-finals, with the winners playing in the final.
The format used in the 2007 World Cup involved 16 teams allocated into four groups of four. Within each group, the teams played each other in a round-robin format. Teams earned points for wins and half-points for ties. The top two teams from each group moved forward to the Super 8 round. The Super 8 teams played the other six teams that progressed from the different groups. Teams earned points in the same way as the group stage, but carried their points forward from previous matches against the other teams who qualified from the same group to the Super 8 stage. The top four teams from the Super 8 round advanced to the semi-finals, and the winners of the semi-finals played in the final.
The format used in the 2011 and 2015 World Cups featured two groups of seven teams, each playing in a round-robin format. The top four teams from each group proceeded to the knock out stage consisting of quarter-finals, semi-finals and ultimately the final.
In the 2019 and 2023 editions of the tournament, the number of teams participating dropped to 10. Each team is scheduled to play against each other once in a round robin format, before entering the semifinals, a similar format to the 1992 World Cup. The 2027 and 2031 World Cups will have 14 teams, with the format same as the 2003 edition."
Cricket_World_Cup,Trophy,,"The ICC Cricket World Cup Trophy is presented to the winners of the World Cup. The current trophy was created for the 1999 championships, and was the first permanent prize in the tournament's history. Prior to this, different trophies were made for each World Cup. Before introducing the permanent ICC Cricket World Cup Trophy in 1999, individual trophies were designed and awarded for each edition of the tournament. For example, the Prudential Cup trophies were used for the first three editions (1975, 1979, and 1983) when Prudential plc was the sponsor. Similarly, subsequent tournaments used different designs until the permanent trophy was introduced. This shift to a permanent design was intended to establish a consistent and iconic representation of the World Cup's legacy. The trophy was designed and produced in London by a team of craftsmen from Garrard & Co over a period of two months.
The current trophy is made from silver and gilt, and features a golden globe held up by three silver columns. The columns, shaped as stumps and bails, represent the three fundamental aspects of cricket: batting, bowling and fielding, while the globe characterises a cricket ball. The seam is tilted to symbolize the axial tilt of the Earth. It stands 60 centimetres (24 in) high and weighs approximately 11 kilograms (24 lb). The names of the previous winners are engraved on the base of the trophy, with space for a total of twenty inscriptions. The ICC keeps the original trophy. A replica differing only in the inscriptions is permanently awarded to the winning team."
